BJD - 2454833,Corrected Flux
3536.528421677,1.000839635
3536.548856898,1.002383128
3536.569292318,1.002129945
3536.589727639,1.000579335
3536.610162859,0.999910029
3536.630598278,0.999026016
3536.651033598,0.998298413
3536.671468817,1.000296525
3536.691904236,0.996835972
3536.712339554,1.000102197
3536.732774872,0.999057799
3536.753210190,0.998953398
3536.773645508,0.998488041
3536.794080825,0.999448122
3536.814516142,0.997697047
3536.834951459,1.000153840
3536.855386775,1.004039705
3536.875822092,0.997240504
3536.896257407,0.998009446
3536.937128038,0.999207448
3536.957563353,0.999396712
3536.977998568,0.998935608
3536.998433982,0.999378078
3537.018869296,0.999425366
3537.039304510,1.001906620
3537.059739923,0.997729319
3537.080175236,0.998307090
3537.100610449,0.998768696
3537.121045861,0.996805440
3537.141481174,0.997327079
3537.161916585,0.998870900
3537.182351797,0.999536867
3537.202787108,0.997315967
3537.223222519,0.996489645
3537.243657730,0.998882555
3537.264093040,1.000848177
3537.284528450,0.996813066
3537.304963760,0.997044490
3537.325398970,0.997380053
3537.345834379,0.995495991
3537.366269688,0.997370889
3537.386704896,0.996899290
3537.407140305,0.993765908
3537.427575612,0.996615617
3537.448010820,0.995825254
3537.468446227,0.997250531
3537.488881534,0.994498555
3537.509316741,0.995397695
3537.529752147,0.995039969
3537.550187454,1.000068541
3537.570622759,0.993629210
3537.591058065,0.996345974
3537.611493370,0.993652022
3537.631928675,0.994182914
3537.672799284,0.998862817
3537.693234588,0.998271756
3537.713669891,0.997993592
3537.734105195,0.996026492
3537.754540498,0.997588499
3537.774975801,0.998002843
3537.795411103,0.995951698
3537.815846305,0.998488104
3537.836281707,0.996561864
3537.856717008,0.996383539
3537.877152209,0.996412299
3537.938458311,0.996074195
3537.958893511,0.998182448
3537.979328811,0.995221302
3537.999764210,0.994871755
3538.020199409,0.995384199
3538.040634708,0.996049122
3538.061070106,0.997474622
3538.081505304,0.996404606
3538.101940602,0.997849524
3538.122375999,0.995121057
3538.142811296,0.995956140
3538.163246493,1.008206280
3538.183681890,0.994446577
3538.204117186,0.994817613
3538.224552382,0.997587427
3538.244987777,0.993761296
3538.265423073,0.994582978
3538.285858267,0.997342482
3538.306293662,0.994330161
3538.326728956,0.995246520
3538.347164150,0.995859337
3538.367599544,0.995208833
3538.408470130,0.994892170
3538.428905423,0.996160907
3538.449340716,0.995450605
3538.469776008,0.995577565
3538.490211300,1.000637788
3538.510646591,0.996709714
3538.531081882,0.996538759
3538.551517173,0.992932733
3538.571952464,0.995672592
3538.592387754,0.995021442
3538.612823044,0.995133353
3538.633258333,0.994943471
3538.653693523,0.996636005
3538.674128912,0.994819467
3538.694564200,0.994020643
3538.714999589,0.994510980
3538.735434777,0.996426989
3538.755870064,0.992776052
3538.776305452,0.995066069
3538.796740639,0.994320192
3538.817175925,0.998924727
3538.837611312,0.993203878
3538.858046498,0.994384513
3538.898917169,0.994250041
3538.919352354,0.993809002
3538.939787639,0.994294451
3538.960223024,0.993231291
3538.980658308,0.994315216
3539.001093492,0.995321153
3539.021528875,0.994047024
3539.041964158,0.992828823
3539.062399341,0.994669126
3539.082834724,0.993332294
3539.103270006,0.994451730
3539.123705188,0.993680127
3539.144140570,0.992104757
3539.164575851,0.994238487
3539.185011032,0.993045714
3539.205446413,0.994070917
3539.225881693,0.993654115
3539.246316973,0.993876177
3539.266752253,0.991611201
3539.287187532,0.992659476
3539.307622811,0.992266716
3539.328058090,0.993599590
3539.348493368,0.992123189
3539.368928546,0.993513292
3539.389363924,0.994291789
3539.409799202,0.992458867
3539.430234379,0.994044333
3539.450669756,0.992899796
3539.471105032,0.991219710
3539.491540408,0.992482690
3539.511975584,0.990915635
3539.532410860,0.993324991
3539.552846235,0.991205467
3539.573281410,0.991143957
3539.593716684,0.993734660
3539.634587232,0.991095172
3539.655022506,0.990792020
3539.675457879,0.994077059
3539.695893052,0.993601912
3539.716328324,0.993629719
3539.736763697,0.992632599
3539.757198868,0.992444026
3539.777634140,0.990424797
3539.798069511,0.991629911
3539.818504782,0.992627793
3539.838939953,0.989819201
3539.900245763,0.992185497
3539.920681132,0.990664461
3539.941116401,0.992185829
3539.961551570,0.991757680
3539.981986938,0.991723726
3540.002422206,0.993529022
3540.022857374,0.994035954
3540.043292741,0.992622768
3540.063728008,0.991342524
3540.084163274,0.992344342
3540.104598541,0.992239069
3540.125033807,0.993552888
3540.145469073,0.991364186
3540.165904338,0.994431752
3540.186339603,0.991982475
3540.206774768,0.991171844
3540.227210132,0.992298138
3540.247645396,0.991816083
3540.268080660,0.989934091
3540.288515923,0.991700819
3540.308951186,0.993086415
3540.329386549,0.991984196
3540.370256973,0.993011560
3540.390692335,0.991807005
3540.411127496,0.990574306
3540.431562757,0.992148660
3540.451998118,0.991082677
3540.472433278,0.989736315
3540.492868539,0.988790794
3540.513303898,0.992016298
3540.533739058,0.991252475
3540.554174317,0.995013457
3540.574609675,0.991388192
3540.595044834,0.990177804
3540.615480092,0.989057453
3540.635915449,0.992102250
3540.656350707,0.988669243
3540.676785864,0.991461616
3540.697221220,0.989867493
3540.717656477,0.991298458
3540.738091633,0.989234159
3540.758526989,0.994035582
3540.778962244,0.991276485
3540.799397399,0.991697054
3540.819832754,0.989528753
3540.840268008,0.990643261
3540.860703162,0.990514972
3540.881138516,0.989601199
3540.901573769,0.989364146
3540.922009022,0.989307713
3540.942444275,0.989494583
3540.962879427,0.991251453
3540.983314779,0.989876402
3541.003750031,0.989342639
3541.024185282,0.988614698
3541.044620433,0.990562505
3541.065055784,0.989985285
3541.085491034,0.990574537
3541.105926284,0.990540407
3541.126361534,0.989824944
3541.146796783,0.989757844
3541.167232132,0.990093868
3541.187667281,0.987743092
3541.208102529,0.990633009
3541.228537877,0.988515255
3541.248973025,0.989093298
3541.269408272,0.987569114
3541.289843619,0.987975664
3541.310278765,0.990881632
3541.351149357,0.987685937
3541.371584503,0.989944303
3541.392019748,0.992704340
3541.412455093,0.987176351
3541.432890238,0.987006689
3541.453325481,0.989207167
3541.473760826,0.991190277
3541.494196069,0.988301671
3541.514631212,0.990223683
3541.535066555,0.986235076
3541.555501798,0.988140580
3541.575936940,0.984860731
3541.596372281,0.988580161
3541.616807523,0.987014630
3541.637242664,0.986479833
3541.657678005,0.986240187
3541.678113245,0.987048098
3541.698548385,0.985422613
3541.718983725,0.987540283
3541.739418965,0.988076685
3541.759854103,0.986416322
3541.780289442,0.988082749
3541.800724581,0.988917545
3541.841595156,0.985966805
3541.862030393,0.990538039
3541.882465531,0.985973557
3541.902900867,0.986221560
3541.923336103,0.988044871
3541.943771340,0.987328084
3541.964206575,0.987976975
3541.984641810,0.988223114
3542.005077145,0.986760798
3542.025512280,0.986154532
3542.045947514,0.985576719
3542.066382848,0.985640540
3542.086817981,0.988025289
3542.107253214,0.987583682
3542.127688548,0.985654438
3542.148123680,0.988737206
3542.168558912,0.985723675
3542.188994244,0.988531491
3542.209429375,0.986225043
3542.229864606,0.986409264
3542.250299937,0.986415902
3542.270735067,0.986588134
3542.291170297,0.984207560
3542.311605627,0.987712738
3542.332040856,0.986421829
3542.352475985,0.987171990
3542.372911314,0.986181639
3542.393346543,0.988685621
3542.413781671,0.986118109
3542.434216998,0.988033439
3542.454652225,0.985757285
3542.475087352,0.987864774
3542.495522679,0.988065395
3542.515957905,0.986561338
3542.536393031,0.986752587
3542.556828356,0.985007271
3542.577263581,0.986489340
3542.597698706,0.987767373
3542.618134031,0.986572959
3542.638569155,0.984961760
3542.659004378,0.988646609
3542.679439702,0.985991692
3542.699874925,0.990715887
3542.720310047,0.987511918
3542.740745370,0.986044944
3542.761180592,0.986438991
3542.781615714,0.985746981
3542.822486256,0.983710491
3542.842921376,0.984425531
3542.863356697,0.985241622
3542.883791916,0.985117599
3542.904227236,0.982867314
3542.924662355,0.986059301
3542.945097573,0.984387664
3542.965532892,0.985225689
3542.985968010,0.991102690
3543.006403228,0.987220553
3543.026838545,0.984645877
3543.047273662,0.985173526
3543.067708879,0.986970702
3543.088144195,0.984105399
3543.108579311,0.986276361
3543.129014527,0.984993739
3543.149449842,0.986274854
3543.169885057,0.982690705
3543.190320171,0.985001264
3543.210755485,0.985852574
3543.231190699,0.988457612
3543.251625813,0.985842864
3543.272061126,0.984665809
3543.292496339,0.985752871
3543.312931451,0.985894346
3543.333366763,0.985734872
3543.353801974,0.985283465
3543.374237086,0.984650253
3543.394672397,0.984385044
3543.415107508,0.986918766
3543.435542718,0.986346138
3543.455978028,0.986952772
3543.476413137,0.983934916
3543.496848346,0.985213098
3543.517283655,0.985401597
3543.558153971,0.982559800
3543.578589279,0.983640100
3543.599024487,0.987571489
3543.619459593,0.982209567
3543.639894900,0.983621142
3543.660330106,0.983918963
3543.680765213,0.983225698
3543.701200518,0.982916451
3543.721635723,0.983043635
3543.742070828,0.981440100
